(-170, 0)
(-171.11111, -1.11111)
(-172.22222, -2.22222)
(-173.33333, -3.33333)
(-174.44444, -4.44444)
(-175.55556, -5.55556)
(-176.66667, -6.66667)
(-177.77778, -7.77778)
(-178.88889, -8.88889)
(180, -10.0)
(178.88889, -8.88889)
(177.77778, -7.77778)
(176.66667, -6.66667)
(175.55556, -5.55556)
(174.44444, -4.44444)
(173.33333, -3.33333)
(172.22222, -2.22222)
(171.11111, -1.11111)
(170, -0.0)
(171.11111, 1.11111)
(172.22222, 2.22222)
(173.33333, 3.33333)
(174.44444, 4.44444)
(175.55556, 5.55556)
(176.66667, 6.66667)
(177.77778, 7.77778)
(178.88889, 8.88889)
(-180, 10.0)
(-178.88889, 8.88889)
(-177.77778, 7.77778)
(-176.66667, 6.66667)
(-175.55556, 5.55556)
(-174.44444, 4.44444)
(-173.33333, 3.33333)
(-172.22222, 2.22222)
(-171.11111, 1.11111)
(-160, 0)
(-162.22222, -2.22222)
(-164.44444, -4.44444)
(-166.66667, -6.66667)
(-168.88889, -8.88889)
(-171.11111, -11.11111)
(-173.33333, -13.33333)
(-175.55556, -15.55556)
(-177.77778, -17.77778)
(180, -20.0)
(177.77778, -17.77778)
(175.55556, -15.55556)
(173.33333, -13.33333)
(171.11111, -11.11111)
(168.88889, -8.88889)
(166.66667, -6.66667)
(164.44444, -4.44444)
(162.22222, -2.22222)
(160, -0.0)
(162.22222, 2.22222)
(164.44444, 4.44444)
(166.66667, 6.66667)
(168.88889, 8.88889)
(171.11111, 11.11111)
(173.33333, 13.33333)
(175.55556, 15.55556)
(177.77778, 17.77778)
(-180, 20.0)
(-177.77778, 17.77778)
(-175.55556, 15.55556)
(-173.33333, 13.33333)
(-171.11111, 11.11111)
(-168.88889, 8.88889)
(-166.66667, 6.66667)
(-164.44444, 4.44444)
(-162.22222, 2.22222)
(-150, 0)
(-153.33333, -3.33333)
(-156.66667, -6.66667)
(-160.0, -10.0)
(-163.33333, -13.33333)
(-166.66667, -16.66667)
(-170.0, -20.0)
(-173.33333, -23.33333)
(-176.66667, -26.66667)
(180, -30.0)
(176.66667, -26.66667)
(173.33333, -23.33333)
(170.0, -20.0)
(166.66667, -16.66667)
(163.33333, -13.33333)
(160.0, -10.0)
(156.66667, -6.66667)
(153.33333, -3.33333)
(150, -0.0)
(153.33333, 3.33333)
(156.66667, 6.66667)
(160.0, 10.0)
(163.33333, 13.33333)
(166.66667, 16.66667)
(170.0, 20.0)
(173.33333, 23.33333)
(176.66667, 26.66667)
(-180, 30.0)
(-176.66667, 26.66667)
(-173.33333, 23.33333)
(-170.0, 20.0)
(-166.66667, 16.66667)
(-163.33333, 13.33333)
(-160.0, 10.0)
(-156.66667, 6.66667)
(-153.33333, 3.33333)
(-140, 0)
(-144.44444, -4.44444)
(-148.88889, -8.88889)
(-153.33333, -13.33333)
(-157.77778, -17.77778)
(-162.22222, -22.22222)
(-166.66667, -26.66667)
(-171.11111, -31.11111)
(-175.55556, -35.55556)
(180, -40.0)
(175.55556, -35.55556)
(171.11111, -31.11111)
(166.66667, -26.66667)
(162.22222, -22.22222)
(157.77778, -17.77778)
(153.33333, -13.33333)
(148.88889, -8.88889)
(144.44444, -4.44444)
(140, -0.0)
(144.44444, 4.44444)
(148.88889, 8.88889)
(153.33333, 13.33333)
(157.77778, 17.77778)
(162.22222, 22.22222)
(166.66667, 26.66667)
(171.11111, 31.11111)
(175.55556, 35.55556)
(-180, 40.0)
(-175.55556, 35.55556)
(-171.11111, 31.11111)
(-166.66667, 26.66667)
(-162.22222, 22.22222)
(-157.77778, 17.77778)
(-153.33333, 13.33333)
(-148.88889, 8.88889)
(-144.44444, 4.44444)
(-130, 0)
(-135.55556, -5.55556)
(-141.11111, -11.11111)
(-146.66667, -16.66667)
(-152.22222, -22.22222)
(-157.77778, -27.77778)
(-163.33333, -33.33333)
(-168.88889, -38.88889)
(-174.44444, -44.44444)
(180, -50)
(174.44444, -44.44444)
(168.88889, -38.88889)
(163.33333, -33.33333)
(157.77778, -27.77778)
(152.22222, -22.22222)
(146.66667, -16.66667)
(141.11111, -11.11111)
(135.55556, -5.55556)
(130.0, 0)
(130, 5.55556)
(135.55556, 11.11111)
(141.11111, 16.66667)
(146.66667, 22.22222)
(152.22222, 27.77778)
(157.77778, 33.33333)
(163.33333, 38.88889)
(168.88889, 44.44444)
(174.44444, 50)
(-180, 44.44444)
(-174.44444, 38.88889)
(-168.88889, 33.33333)
(-163.33333, 27.77778)
(-157.77778, 22.22222)
(-152.22222, 16.66667)
(-146.66667, 11.11111)
(-141.11111, 5.55556)
(-120, 0)
(-126.66667, -6.66667)
(-133.33333, -13.33333)
(-140.0, -20.0)
(-146.66667, -26.66667)
(-153.33333, -33.33333)
(-160.0, -40.0)
(-166.66667, -46.66667)
(-173.33333, -53.33333)
(180, -60.0)
(173.33333, -53.33333)
(166.66667, -46.66667)
(160.0, -40.0)
(153.33333, -33.33333)
(146.66667, -26.66667)
(140.0, -20.0)
(133.33333, -13.33333)
(126.66667, -6.66667)
(120.0, -0.0)
(120, 6.66667)
(126.66667, 13.33333)
(133.33333, 20.0)
(140.0, 26.66667)
(146.66667, 33.33333)
(153.33333, 40.0)
(160.0, 46.66667)
(166.66667, 53.33333)
(173.33333, 60.0)
(-180, 53.33333)
(-173.33333, 46.66667)
(-166.66667, 40.0)
(-160.0, 33.33333)
(-153.33333, 26.66667)
(-146.66667, 20.0)
(-140.0, 13.33333)
(-133.33333, 6.66667)
(-126.66667, 0.0)
