(-170, 0)
(-171.11111, -1.11111)
(-172.22222, -2.22222)
(-173.33333, -3.33333)
(-174.44444, -4.44444)
(-175.55556, -5.55556)
(-176.66667, -6.66667)
(-177.77778, -7.77778)
(-178.88889, -8.88889)
(180, -10.0)
(178.88889, -10)
(177.77778, -8.88889)
(176.66667, -7.77778)
(175.55556, -6.66667)
(174.44444, -5.55556)
(173.33333, -4.44444)
(172.22222, -3.33333)
(171.11111, -2.22222)
(170, -1.11111)
(171.11111, -0.0)
(172.22222, 1.11111)
(173.33333, 0)
(174.44444, 1.11111)
(175.55556, 2.22222)
(176.66667, 3.33333)
(177.77778, 4.44444)
(178.88889, 5.55556)
(-180, 6.66667)
(-178.88889, 7.77778)
(-177.77778, 8.88889)
(-176.66667, 10.0)
(-175.55556, 10)
(-174.44444, 8.88889)
(-173.33333, 7.77778)
(-172.22222, 6.66667)
(-171.11111, 5.55556)
